trial,selection,replicate,id,seconds,color,side,assignedR,choice
2,A,1,81,90,Y,R,R,1
3,A,1,81,104,R,R,R,0
1,B,3,83,3073,Y,R,R,1
2,B,3,83,1588,R,L,R,0
3,B,3,83,609,R,R,R,0
1,A,3,85,158,Y,L,Y,0
2,A,3,85,186,Y,R,Y,0
3,A,3,85,5,R,R,Y,1
1,A,1,86,3600,Y,L,Y,0
2,A,1,86,3600,Y,L,Y,0
3,A,1,86,3600,R,L,Y,1
1,A,3,87,3600,R,R,R,0
2,A,3,87,3600,R,R,R,0
3,A,3,87,42,R,L,R,0
1,A,3,88,3600,R,R,R,0
2,A,3,88,3600,R,R,R,0
3,A,3,88,3600,R,L,R,0
1,B,2,89,125,R,R,R,0
2,B,2,89,278,Y,L,R,1
3,B,2,89,16,R,L,R,0
1,A,2,90,3600,Y,R,Y,0
2,A,2,90,86,Y,R,Y,0
3,A,2,90,659,Y,L,Y,0
1,A,1,91,170,Y,R,Y,0
2,A,1,91,165,Y,L,Y,0
3,A,1,91,14,Y,R,Y,0
1,B,1,92,55,Y,L,R,1
2,B,1,92,54,R,R,R,0
3,B,1,92,93,R,L,R,0
1,B,1,93,120,Y,R,R,1
2,B,1,93,232,Y,R,R,1
3,B,1,93,165,R,R,R,0
1,B,3,95,3600,Y,R,R,1
2,B,3,95,3600,Y,R,R,1
3,B,3,95,3600,R,L,R,0
1,A,1,96,219,R,R,R,0
2,A,1,96,99,Y,R,R,1
3,A,1,96,96,Y,L,R,1
1,B,2,99,209,Y,R,Y,0
2,B,2,99,82,Y,R,Y,0
3,B,2,99,37,R,R,Y,1
1,B,1,102,102,NA,L,R,0
2,B,1,102,100,NA,L,R,0
3,B,1,102,26,NA,L,R,0
1,B,2,103,226,NA,L,L,1
2,B,2,103,109,NA,L,L,1
3,B,2,103,195,NA,L,L,1
1,B,2,105,1522,NA,L,R,0
2,B,2,105,266,NA,L,R,0
3,B,2,105,45,NA,R,R,1
1,A,1,106,3600,NA,R,L,0
2,A,1,106,45,NA,R,L,0
3,A,1,106,55,NA,R,L,0
1,B,1,107,3600,NA,L,R,0
2,B,1,107,561,NA,R,R,1
3,B,1,107,27,NA,L,R,0
1,B,1,108,414,NA,R,L,0
2,B,1,108,5,NA,L,L,1
3,B,1,108,35,NA,R,L,0
1,A,1,109,32,NA,L,R,0
2,A,1,109,12,NA,R,R,1
3,A,1,109,162,NA,L,R,0
1,A,3,111,205,NA,L,L,1
2,A,3,111,37,NA,R,L,0
3,A,3,111,26,NA,L,L,1
1,B,2,112,1198,NA,L,L,1
2,B,2,112,60,NA,R,L,0
3,B,2,112,30,NA,L,L,1
1,A,2,115,142,NA,R,L,0
2,A,2,115,34,NA,L,L,1
3,A,2,115,259,NA,L,L,1
1,B,2,118,3600,NA,L,R,0
2,B,2,118,103,NA,L,R,0
3,B,2,118,174,NA,R,R,1
1,B,1,119,538,NA,L,R,0
2,B,1,119,52,NA,L,R,0
3,B,1,119,377,NA,R,R,1
1,B,3,120,3600,NA,L,L,1
2,B,3,120,50,NA,R,L,0
3,B,3,120,375,NA,R,L,0
1,A,1,122,145,NA,R,R,1
2,A,1,122,184,NA,L,R,0
3,A,1,122,40,NA,L,R,0
1,B,1,123,261,NA,L,L,1
2,B,1,123,10,NA,R,L,0
3,B,1,123,510,NA,L,L,1
1,A,1,125,1892,NA,L,L,1
2,A,1,125,291,NA,L,L,1
3,A,1,125,195,NA,L,L,1
1,B,1,126,776,NA,L,R,0
2,B,1,126,449,NA,R,R,1
3,B,1,126,34,NA,R,R,1
1,A,2,127,67,NA,L,L,1
2,A,2,127,11,NA,L,L,1
3,A,2,127,39,NA,R,L,0
1,A,1,128,166,NA,R,R,1
2,A,1,128,662,NA,L,R,0
3,A,1,128,520,NA,L,R,0
1,B,1,129,2,NA,R,L,0
2,B,1,129,69,NA,R,L,0
3,B,1,129,156,NA,R,L,0
1,A,3,131,1227,NA,R,L,0
2,A,3,131,62,NA,R,L,0
3,A,3,131,25,NA,L,L,1
1,B,2,133,1055,NA,L,R,0
2,B,2,133,136,NA,R,R,1
3,B,2,133,105,NA,R,R,1
1,B,2,135,320,NA,R,R,1
2,B,2,135,18,NA,L,R,0
3,B,2,135,1328,NA,R,R,1
1,B,3,137,83,NA,R,R,1
2,B,3,137,70,NA,R,R,1
3,B,3,137,76,NA,R,R,1
1,A,3,138,1009,NA,L,L,1
2,A,3,138,127,NA,R,L,0
3,A,3,138,154,NA,L,L,1
1,A,3,141,262,NA,R,R,1
2,A,3,141,125,NA,R,R,1
3,A,3,141,154,NA,L,R,0
1,A,2,145,324,NA,L,R,0
2,A,2,145,156,NA,L,R,0
3,A,2,145,247,NA,R,R,1
1,B,3,146,99,NA,L,R,0
2,B,3,146,183,NA,R,R,1
3,B,3,146,385,NA,L,R,0
1,B,1,148,97,NA,L,L,1
2,B,1,148,43,NA,L,L,1
3,B,1,148,144,NA,L,L,1
1,B,3,151,3600,NA,R,R,1
2,B,3,151,163,NA,R,R,1
3,B,3,151,1964,NA,R,R,1
1,A,3,154,1105,NA,R,L,0
2,A,3,154,22,NA,R,L,0
3,A,3,154,1227,NA,L,L,1
1,A,2,156,121,NA,L,L,1
2,A,2,156,49,NA,R,L,0
3,A,2,156,6,NA,R,L,0
1,A,3,159,2095,NA,R,R,1
